Epoch, Loss, Train Accuracy, Test Accuracy, Time
175, 0.2184, 0.9059, 0.8333, 3.4064
176, 0.2241, 0.9176, 0.8333, 3.4258
177, 0.2221, 0.9118, 0.8333, 3.4453
178, 0.2144, 0.9118, 0.8333, 3.4646
179, 0.2086, 0.9118, 0.8333, 3.4838
180, 0.2114, 0.9176, 0.8333, 3.5022
181, 0.2157, 0.9118, 0.8333, 3.5204
182, 0.2149, 0.9118, 0.8333, 3.5397
183, 0.2094, 0.9176, 0.8333, 3.5591
184, 0.2036, 0.9235, 0.8333, 3.5785
185, 0.2012, 0.9235, 0.8333, 3.5982
186, 0.2024, 0.9118, 0.8333, 3.6178
187, 0.2055, 0.9235, 0.8333, 3.6377
188, 0.2118, 0.9176, 0.8333, 3.6574
189, 0.2221, 0.9000, 0.8889, 3.6770
190, 0.2384, 0.9118, 0.8333, 3.6968
191, 0.2305, 0.9176, 0.8333, 3.7174
192, 0.2080, 0.9294, 0.8333, 3.7372
193, 0.1926, 0.9176, 0.8333, 3.7569
194, 0.2062, 0.9176, 0.8333, 3.7764
195, 0.2172, 0.9176, 0.8333, 3.7960
196, 0.1990, 0.9235, 0.8333, 3.8154
197, 0.1887, 0.9235, 0.8333, 3.8344
198, 0.1993, 0.9176, 0.8333, 3.8545
199, 0.2010, 0.9294, 0.8333, 3.8727
